,flash_id,lat,lon,flash_radiance,flash_time_loc,no2_delta_time,no2_val,qa_val
47655,617.0,50.94803,-101.081665,,,2022-07-16 17:36:04 -0400,7.159822e-06,74.0
47656,617.0,50.953457,-101.17337,,,2022-07-16 17:36:04 -0400,5.4679713e-06,74.0
47657,617.0,50.95884,-101.26549,,,2022-07-16 17:36:04 -0400,5.9293293e-06,74.0
47658,617.0,50.96418,-101.35787,,,2022-07-16 17:36:04 -0400,4.788937e-06,74.0
47659,617.0,50.96948,-101.45057,,,2022-07-16 17:36:04 -0400,4.6886007e-06,74.0
47660,617.0,50.974735,-101.54366,,,2022-07-16 17:36:04 -0400,4.764436e-06,74.0
47661,617.0,50.979946,-101.637,,,2022-07-16 17:36:04 -0400,4.9649225e-06,74.0
47662,617.0,50.98511,-101.73075,,,2022-07-16 17:36:04 -0400,4.78531e-06,74.0
47663,617.0,50.99023,-101.82483,,,2022-07-16 17:36:04 -0400,4.9258692e-06,74.0
48895,617.0,49.744236,-100.716324,,,2022-07-16 17:36:08 -0400,4.387433e-06,74.0
48896,617.0,49.757374,-100.80707,,,2022-07-16 17:36:08 -0400,4.616863e-06,74.0
48897,617.0,49.77042,-100.89818,,,2022-07-16 17:36:08 -0400,4.5542756e-06,74.0
48898,617.0,49.78338,-100.989525,,,2022-07-16 17:36:08 -0400,6.4919095e-06,74.0
48899,617.0,49.79625,-101.0812,,,2022-07-16 17:36:08 -0400,5.8015885e-06,74.0
48900,617.0,49.809036,-101.17328,,,2022-07-16 17:36:08 -0400,5.6259623e-06,74.0
48901,617.0,49.821735,-101.26563,,,2022-07-16 17:36:08 -0400,4.731123e-06,74.0
48902,617.0,49.83435,-101.3583,,,2022-07-16 17:36:08 -0400,4.7229732e-06,100.0
48903,617.0,49.84688,-101.451355,,,2022-07-16 17:36:08 -0400,4.770481e-06,100.0
48904,617.0,49.85933,-101.54467,,,2022-07-16 17:36:08 -0400,4.9823457e-06,90.0
48905,617.0,49.871696,-101.63839,,,2022-07-16 17:36:08 -0400,4.8516367e-06,90.0
48906,617.0,49.883987,-101.73243,,,2022-07-16 17:36:08 -0400,5.2966425e-06,100.0
48907,617.0,49.896194,-101.826805,,,2022-07-16 17:36:08 -0400,4.6505634e-06,100.0
48908,617.0,49.90833,-101.921486,,,2022-07-16 17:36:08 -0400,4.723626e-06,100.0
48909,617.0,49.920383,-102.01646,,,2022-07-16 17:36:08 -0400,4.876907e-06,100.0
48910,617.0,49.93236,-102.111755,,,2022-07-16 17:36:08 -0400,5.251712e-06,100.0
48911,617.0,49.944263,-102.20761,,,2022-07-16 17:36:08 -0400,4.5691218e-06,100.0
48912,617.0,49.956093,-102.30366,,,2022-07-16 17:36:08 -0400,4.7051576e-06,100.0
48913,617.0,49.96785,-102.40001,,,2022-07-16 17:36:08 -0400,5.399445e-06,100.0
48914,617.0,49.97953,-102.49676,,,2022-07-16 17:36:08 -0400,4.999465e-06,100.0
48915,617.0,49.991142,-102.59388,,,2022-07-16 17:36:08 -0400,4.7926624e-06,100.0
52628,617.0,49.80853,-100.71451,,,2022-07-16 17:36:20 -0400,4.6430773e-06,67.0
52629,617.0,49.826565,-100.806076,,,2022-07-16 17:36:20 -0400,4.44474e-06,90.0
52630,617.0,49.844437,-100.89805,,,2022-07-16 17:36:20 -0400,4.394047e-06,0.0
52631,617.0,49.862152,-100.990295,,,2022-07-16 17:36:20 -0400,4.6031605e-06,90.0
52632,617.0,49.879715,-101.082855,,,2022-07-16 17:36:20 -0400,5.1138472e-06,100.0
52633,617.0,49.897125,-101.17581,,,2022-07-16 17:36:20 -0400,4.893302e-06,100.0
52634,617.0,49.914383,-101.26903,,,2022-07-16 17:36:20 -0400,4.982049e-06,74.0
52635,617.0,49.93149,-101.36265,,,2022-07-16 17:36:20 -0400,4.3959126e-06,74.0
52636,617.0,49.948456,-101.4566,,,2022-07-16 17:36:20 -0400,4.60421e-06,67.0
52637,617.0,49.965275,-101.55088,,,2022-07-16 17:36:20 -0400,4.724584e-06,90.0
52638,617.0,49.981956,-101.64547,,,2022-07-16 17:36:20 -0400,6.7609144e-06,100.0
52639,617.0,49.998493,-101.74036,,,2022-07-16 17:36:20 -0400,5.7945294e-06,74.0
52640,617.0,50.014896,-101.83557,,,2022-07-16 17:36:20 -0400,5.0665158e-06,74.0
52641,617.0,50.031162,-101.93134,,,2022-07-16 17:36:20 -0400,4.5331913e-06,74.0
52642,617.0,50.0473,-102.027306,,,2022-07-16 17:36:20 -0400,4.804583e-06,11.0
52643,617.0,50.0633,-102.12359,,,2022-07-16 17:36:20 -0400,5.2166283e-06,100.0
52644,617.0,50.079174,-102.22026,,,2022-07-16 17:36:20 -0400,5.3338886e-06,100.0
52645,617.0,50.09492,-102.317314,,,2022-07-16 17:36:20 -0400,6.1005358e-06,74.0
52646,617.0,50.110542,-102.41468,,,2022-07-16 17:36:20 -0400,5.5920686e-06,11.0
52647,617.0,50.126038,-102.51242,,,2022-07-16 17:36:20 -0400,5.1042407e-06,100.0
52648,617.0,50.141415,-102.61048,,,2022-07-16 17:36:20 -0400,5.859241e-06,100.0
56363,617.0,49.598557,-100.71693,,,2022-07-16 17:36:32 -0400,4.163244e-06,67.0
56364,617.0,49.625828,-100.80937,,,2022-07-16 17:36:32 -0400,4.487482e-06,90.0
56365,617.0,49.652775,-100.90222,,,2022-07-16 17:36:32 -0400,5.3288395e-06,74.0
56366,617.0,49.679405,-100.99532,,,2022-07-16 17:36:32 -0400,5.2082405e-06,74.0
56367,617.0,49.705727,-101.08884,,,2022-07-16 17:36:32 -0400,4.9186033e-06,100.0
56368,617.0,49.73174,-101.182686,,,2022-07-16 17:36:32 -0400,5.197675e-06,74.0
56369,617.0,49.757458,-101.27686,,,2022-07-16 17:36:32 -0400,5.55249e-06,11.0
56370,617.0,49.78288,-101.37135,,,2022-07-16 17:36:32 -0400,6.269004e-06,74.0
56371,617.0,49.808018,-101.46614,,,2022-07-16 17:36:32 -0400,7.121219e-06,74.0
56372,617.0,49.83287,-101.561264,,,2022-07-16 17:36:32 -0400,8.804348e-06,100.0
56373,617.0,49.85745,-101.656944,,,2022-07-16 17:36:32 -0400,8.186521e-06,74.0
56374,617.0,49.881756,-101.752815,,,2022-07-16 17:36:32 -0400,7.716579e-06,74.0
56375,617.0,49.905796,-101.849014,,,2022-07-16 17:36:32 -0400,8.472964e-06,74.0
56376,617.0,49.929577,-101.9456,,,2022-07-16 17:36:32 -0400,8.138456e-06,100.0
56377,617.0,49.9531,-102.042564,,,2022-07-16 17:36:32 -0400,6.9876623e-06,74.0
56378,617.0,49.976368,-102.139854,,,2022-07-16 17:36:32 -0400,6.7767833e-06,90.0
56379,617.0,49.999393,-102.23752,,,2022-07-16 17:36:32 -0400,6.844333e-06,90.0
56380,617.0,50.022175,-102.33551,,,2022-07-16 17:36:32 -0400,6.827152e-06,100.0
56381,617.0,50.044716,-102.433846,,,2022-07-16 17:36:32 -0400,5.81749e-06,100.0
56382,617.0,50.067024,-102.53261,,,2022-07-16 17:36:32 -0400,5.6933036e-06,74.0
56383,617.0,50.089104,-102.631744,,,2022-07-16 17:36:32 -0400,4.877249e-06,74.0
60102,617.0,49.011417,-101.099,,,2022-07-16 17:36:44 -0400,5.1966467e-06,74.0
60103,617.0,49.056534,-101.19368,,,2022-07-16 17:36:44 -0400,5.290806e-06,74.0
60104,617.0,49.100906,-101.2887,,,2022-07-16 17:36:44 -0400,5.2389523e-06,74.0
60105,617.0,49.144554,-101.38427,,,2022-07-16 17:36:44 -0400,4.580027e-06,74.0
60106,617.0,49.187496,-101.48005,,,2022-07-16 17:36:44 -0400,5.224184e-06,74.0
60107,617.0,49.22975,-101.57614,,,2022-07-16 17:36:44 -0400,7.755848e-06,74.0
60108,617.0,49.271336,-101.67264,,,2022-07-16 17:36:44 -0400,4.710513e-06,100.0
60109,617.0,49.312275,-101.76951,,,2022-07-16 17:36:44 -0400,4.1165913e-06,100.0
60110,617.0,49.352577,-101.86671,,,2022-07-16 17:36:44 -0400,4.1197663e-06,100.0
60111,617.0,49.39226,-101.96429,,,2022-07-16 17:36:44 -0400,4.078089e-06,100.0
60112,617.0,49.431347,-102.06219,,,2022-07-16 17:36:44 -0400,4.0499294e-06,100.0
60113,617.0,49.469845,-102.160446,,,2022-07-16 17:36:44 -0400,4.1568064e-06,100.0
60114,617.0,49.507774,-102.259125,,,2022-07-16 17:36:44 -0400,4.4585654e-06,100.0
60115,617.0,49.545143,-102.358185,,,2022-07-16 17:36:44 -0400,4.66961e-06,100.0
60116,617.0,49.58197,-102.45751,,,2022-07-16 17:36:44 -0400,4.4960725e-06,100.0
60117,617.0,49.618263,-102.55728,,,2022-07-16 17:36:44 -0400,4.554926e-06,100.0
60118,617.0,49.65404,-102.65741,,,2022-07-16 17:36:44 -0400,4.0763653e-06,100.0
76551,617.0,49.843445,-100.70756,,,2022-07-16 17:37:38 -0400,6.309258e-06,90.0
76552,617.0,49.889965,-100.80493,,,2022-07-16 17:37:38 -0400,4.606655e-06,67.0
76553,617.0,49.935856,-100.902664,,,2022-07-16 17:37:38 -0400,4.6352593e-06,74.0
76554,617.0,49.98113,-101.00084,,,2022-07-16 17:37:38 -0400,4.5353413e-06,74.0
76555,617.0,50.025806,-101.099396,,,2022-07-16 17:37:38 -0400,4.594742e-06,90.0
76556,617.0,50.069893,-101.19824,,,2022-07-16 17:37:38 -0400,4.4831186e-06,90.0
76557,617.0,50.11341,-101.29753,,,2022-07-16 17:37:38 -0400,4.3695954e-06,74.0
76558,617.0,50.15637,-101.3972,,,2022-07-16 17:37:38 -0400,4.5306465e-06,74.0
76559,617.0,50.198776,-101.49723,,,2022-07-16 17:37:38 -0400,4.4498183e-06,74.0
76560,617.0,50.24065,-101.59765,,,2022-07-16 17:37:38 -0400,4.428868e-06,74.0
76561,617.0,50.282005,-101.69846,,,2022-07-16 17:37:38 -0400,4.412546e-06,74.0
76562,617.0,50.343075,-101.79967,,,2022-07-16 17:37:38 -0400,4.549819e-06,74.0
76563,617.0,50.422775,-101.90141,,,2022-07-16 17:37:38 -0400,4.377064e-06,74.0
76564,617.0,50.500576,-102.00331,,,2022-07-16 17:37:38 -0400,4.479105e-06,74.0
76565,617.0,50.576557,-102.10568,,,2022-07-16 17:37:38 -0400,4.4120775e-06,74.0
76566,617.0,50.65079,-102.20842,,,2022-07-16 17:37:38 -0400,4.2520346e-06,74.0
76567,617.0,50.723343,-102.31162,,,2022-07-16 17:37:38 -0400,4.206624e-06,74.0
76568,617.0,50.794285,-102.4153,,,2022-07-16 17:37:38 -0400,4.1176313e-06,74.0
76569,617.0,50.863674,-102.51922,,,2022-07-16 17:37:38 -0400,4.230253e-06,74.0
76570,617.0,50.931564,-102.6236,,,2022-07-16 17:37:38 -0400,4.262317e-06,74.0
188660,617.0,49.003155,-100.68046,,,2022-07-16 19:17:26 -0400,1.2e-05,100.0
189106,617.0,48.995613,-100.91439,,,2022-07-16 19:17:27 -0400,1.4e-05,100.0
189107,617.0,49.00959,-100.861855,,,2022-07-16 19:17:27 -0400,1.2e-05,100.0
189108,617.0,49.023476,-100.80946,,,2022-07-16 19:17:27 -0400,9e-06,100.0
189109,617.0,49.037254,-100.757225,,,2022-07-16 19:17:27 -0400,9e-06,100.0
189110,617.0,49.050934,-100.70512,,,2022-07-16 19:17:27 -0400,1.1e-05,100.0
189553,617.0,49.000744,-101.09797,,,2022-07-16 19:17:28 -0400,1.4e-05,100.0
189554,617.0,49.015053,-101.04492,,,2022-07-16 19:17:28 -0400,1.3e-05,100.0
189555,617.0,49.029255,-100.99203,,,2022-07-16 19:17:28 -0400,1.4e-05,100.0
189556,617.0,49.04335,-100.9393,,,2022-07-16 19:17:28 -0400,1.3e-05,100.0
189557,617.0,49.057343,-100.88672,,,2022-07-16 19:17:28 -0400,1.2e-05,100.0
189558,617.0,49.07123,-100.83428,,,2022-07-16 19:17:28 -0400,1.1e-05,100.0
189559,617.0,49.08502,-100.782,,,2022-07-16 19:17:28 -0400,1.2e-05,100.0
189560,617.0,49.09871,-100.72985,,,2022-07-16 19:17:28 -0400,1e-05,100.0
189561,617.0,49.112297,-100.67785,,,2022-07-16 19:17:28 -0400,1.1e-05,100.0
190000,617.0,49.004826,-101.28328,,,2022-07-16 19:17:29 -0400,1.2e-05,100.0
190001,617.0,49.019478,-101.2297,,,2022-07-16 19:17:29 -0400,1.5e-05,100.0
190002,617.0,49.03401,-101.17628,,,2022-07-16 19:17:29 -0400,1.3e-05,100.0
190003,617.0,49.048435,-101.123024,,,2022-07-16 19:17:29 -0400,1.2e-05,100.0
190004,617.0,49.06275,-101.06993,,,2022-07-16 19:17:29 -0400,1.3e-05,100.0
190005,617.0,49.076965,-101.017,,,2022-07-16 19:17:29 -0400,1.2e-05,100.0
190006,617.0,49.09107,-100.96422,,,2022-07-16 19:17:29 -0400,1.6e-05,100.0
190007,617.0,49.105072,-100.91159,,,2022-07-16 19:17:29 -0400,1e-05,100.0
190008,617.0,49.11897,-100.859116,,,2022-07-16 19:17:29 -0400,1.2e-05,100.0
190009,617.0,49.132767,-100.806786,,,2022-07-16 19:17:29 -0400,1e-05,100.0
190010,617.0,49.146465,-100.75459,,,2022-07-16 19:17:29 -0400,8e-06,100.0
190011,617.0,49.160065,-100.702545,,,2022-07-16 19:17:29 -0400,9e-06,100.0
190446,617.0,48.99271,-101.524796,,,2022-07-16 19:17:30 -0400,1.4e-05,100.0
190447,617.0,49.00783,-101.47045,,,2022-07-16 19:17:30 -0400,1.4e-05,100.0
190448,617.0,49.022835,-101.41629,,,2022-07-16 19:17:30 -0400,1.2e-05,100.0
190449,617.0,49.03772,-101.36231,,,2022-07-16 19:17:30 -0400,1.2e-05,100.0
190450,617.0,49.05249,-101.30851,,,2022-07-16 19:17:30 -0400,1.1e-05,100.0
190451,617.0,49.067146,-101.254875,,,2022-07-16 19:17:30 -0400,1.4e-05,100.0
190452,617.0,49.08169,-101.201416,,,2022-07-16 19:17:30 -0400,1.4e-05,100.0
190453,617.0,49.09613,-101.14812,,,2022-07-16 19:17:30 -0400,1.2e-05,100.0
190454,617.0,49.110455,-101.09498,,,2022-07-16 19:17:30 -0400,1.2e-05,100.0
190455,617.0,49.124676,-101.042,,,2022-07-16 19:17:30 -0400,1.2e-05,100.0
190456,617.0,49.13879,-100.989174,,,2022-07-16 19:17:30 -0400,1.3e-05,100.0
190457,617.0,49.1528,-100.9365,,,2022-07-16 19:17:30 -0400,1.1e-05,100.0
190458,617.0,49.16671,-100.88398,,,2022-07-16 19:17:30 -0400,1.1e-05,74.0
190459,617.0,49.18052,-100.83161,,,2022-07-16 19:17:30 -0400,1.3e-05,74.0
190460,617.0,49.194225,-100.779366,,,2022-07-16 19:17:30 -0400,9e-06,100.0
190461,617.0,49.207836,-100.72727,,,2022-07-16 19:17:30 -0400,8e-06,74.0
190462,617.0,49.221348,-100.67531,,,2022-07-16 19:17:30 -0400,1.1e-05,100.0
190893,617.0,48.994232,-101.71455,,,2022-07-16 19:17:31 -0400,1.3e-05,100.0
190894,617.0,49.009727,-101.65959,,,2022-07-16 19:17:31 -0400,1.4e-05,100.0
190895,617.0,49.0251,-101.60482,,,2022-07-16 19:17:31 -0400,1.6e-05,100.0
190896,617.0,49.040348,-101.550255,,,2022-07-16 19:17:31 -0400,1.6e-05,100.0
190897,617.0,49.05548,-101.49587,,,2022-07-16 19:17:31 -0400,1.3e-05,100.0
190898,617.0,49.07049,-101.441666,,,2022-07-16 19:17:31 -0400,1.3e-05,100.0
190899,617.0,49.08539,-101.38764,,,2022-07-16 19:17:31 -0400,1.2e-05,100.0
190900,617.0,49.100166,-101.33379,,,2022-07-16 19:17:31 -0400,1.3e-05,100.0
190901,617.0,49.114834,-101.28011,,,2022-07-16 19:17:31 -0400,1.1e-05,100.0
190902,617.0,49.12939,-101.2266,,,2022-07-16 19:17:31 -0400,1.4e-05,100.0
190903,617.0,49.143837,-101.173256,,,2022-07-16 19:17:31 -0400,1.2e-05,100.0
190904,617.0,49.158173,-101.12007,,,2022-07-16 19:17:31 -0400,1.3e-05,100.0
190905,617.0,49.1724,-101.06705,,,2022-07-16 19:17:31 -0400,1.2e-05,100.0
190906,617.0,49.186527,-101.01418,,,2022-07-16 19:17:31 -0400,1.1e-05,100.0
190907,617.0,49.200546,-100.961464,,,2022-07-16 19:17:31 -0400,1.1e-05,100.0
190908,617.0,49.214466,-100.9089,,,2022-07-16 19:17:31 -0400,1.4e-05,100.0
190909,617.0,49.228283,-100.85647,,,2022-07-16 19:17:31 -0400,1.5e-05,74.0
190910,617.0,49.241997,-100.80419,,,2022-07-16 19:17:31 -0400,1.1e-05,100.0
190911,617.0,49.255615,-100.75205,,,2022-07-16 19:17:31 -0400,8e-06,74.0
190912,617.0,49.26914,-100.70005,,,2022-07-16 19:17:31 -0400,1.3e-05,74.0
191340,617.0,48.99457,-101.90638,,,2022-07-16 19:17:32 -0400,1.3e-05,100.0
191341,617.0,49.01046,-101.85078,,,2022-07-16 19:17:32 -0400,1.5e-05,100.0
191342,617.0,49.02622,-101.79538,,,2022-07-16 19:17:32 -0400,1.3e-05,100.0
191343,617.0,49.04185,-101.74018,,,2022-07-16 19:17:32 -0400,1.4e-05,100.0
191344,617.0,49.057358,-101.68518,,,2022-07-16 19:17:32 -0400,1.3e-05,100.0
191345,617.0,49.07274,-101.63037,,,2022-07-16 19:17:32 -0400,1.5e-05,100.0
191346,617.0,49.088,-101.57575,,,2022-07-16 19:17:32 -0400,1.5e-05,100.0
191347,617.0,49.10314,-101.52132,,,2022-07-16 19:17:32 -0400,1.4e-05,100.0
191348,617.0,49.118164,-101.46707,,,2022-07-16 19:17:32 -0400,1.3e-05,100.0
191349,617.0,49.133068,-101.413,,,2022-07-16 19:17:32 -0400,1.2e-05,100.0
191350,617.0,49.147858,-101.3591,,,2022-07-16 19:17:32 -0400,1.1e-05,100.0
191351,617.0,49.162537,-101.30538,,,2022-07-16 19:17:32 -0400,1.1e-05,100.0
191352,617.0,49.1771,-101.25182,,,2022-07-16 19:17:32 -0400,1.2e-05,100.0
191353,617.0,49.191555,-101.19843,,,2022-07-16 19:17:32 -0400,1.2e-05,100.0
191354,617.0,49.205902,-101.1452,,,2022-07-16 19:17:32 -0400,1.1e-05,100.0
191355,617.0,49.220142,-101.09213,,,2022-07-16 19:17:32 -0400,1.1e-05,100.0
191356,617.0,49.234276,-101.039215,,,2022-07-16 19:17:32 -0400,1.2e-05,100.0
191357,617.0,49.248306,-100.98646,,,2022-07-16 19:17:32 -0400,1.2e-05,100.0
191358,617.0,49.262234,-100.93384,,,2022-07-16 19:17:32 -0400,1.1e-05,100.0
191359,617.0,49.27606,-100.88137,,,2022-07-16 19:17:32 -0400,1.2e-05,100.0
